Project;Tool;MinMB;MaxMB;AvgMB
Codec;Flacoco;152,8066406;891,5957031;580,9223346
Codec;GZoltarCLI;175,6933594;1628,701172;763,8258635
Codec;GZoltarMaven;180,0273438;1078,609375;571,3092448
Codec;Jaguar;170,9472656;1510,257813;689,6783512
Codec;Jaguar2;199,046875;1151,765625;621,7713449
Codec;Verify;194,0078125;845,6328125;605,3639323
Collections;Flacoco;236,3769531;940,7207031;788,3814552
Collections;GZoltarCLI;211,9023438;2267,332031;1654,368429
Collections;GZoltarMaven;374,7578125;1646,652344;1049,533353
Collections;Jaguar;201,7285156;691,015625;474,3611247
Collections;Jaguar2;152,890625;1918,132813;972,1857639
Collections;Verify;216,0019531;910,1347656;532,412454
Compress;Flacoco;224,9003906;1585,638672;931,03784
Compress;GZoltarCLI;248,7011719;1924,253906;1377,898277
Compress;GZoltarMaven;203,8632813;1401,460938;786,8040039
Compress;Jaguar;170,71875;431,0273438;264,6697049
Compress;Jaguar2;435,4492188;1856,859375;943,2878418
Compress;Verify;264,0878906;1131,386719;551,605599
Csv;Flacoco;162,0507813;252,2148438;210,6912109
Csv;GZoltarCLI;179,9921875;297,0507813;211,1354167
Csv;GZoltarMaven;161,8398438;445,1679688;269,7695313
Csv;Jaguar;174,0820313;301,2304688;213,7560041
Csv;Jaguar2;151,90625;356,3984375;253,6452637
Csv;Verify;181,8222656;345,4804688;237,4300781
Gson;Flacoco;145,375;603,46875;375,01878
Gson;GZoltarCLI;182,2402344;969,1875;533,0906428
Gson;GZoltarMaven;153,2109375;646,8339844;301,0102163
Gson;Jaguar;154,40625;565,6386719;278,7684972
Gson;Jaguar2;109,890625;644,5429688;319,9581706
Gson;Verify;116,046875;284,0761719;205,3296441
JacksonDatabind;Flacoco;213,7871094;2019,277344;1197,022113
JacksonDatabind;GZoltarCLI;214,1464844;1841,914063;1190,408203
JacksonDatabind;GZoltarMaven;192,9628906;418,3554688;247,1958008
JacksonDatabind;Jaguar;181,8417969;418,0742188;337,7789063
JacksonDatabind;Jaguar2;183,7148438;2305,587891;1572,369185
JacksonDatabind;Verify;291,8671875;1069,681641;494,0431083
JacksonXml;Flacoco;234,7675781;830,2460938;481,9960938
JacksonXml;GZoltarCLI;165,75;798,6777344;460,2244038
JacksonXml;GZoltarMaven;159,2832031;361,78125;244,2648438
JacksonXml;Jaguar;135,9960938;271,9023438;173,8655134
JacksonXml;Jaguar2;145,7246094;392,2851563;271,5644531
JacksonXml;Verify;104,5898438;272,6992188;204,3111979
Jsoup;Flacoco;98,640625;388,9960938;237,6523438
Jsoup;GZoltarCLI;156,5195313;1674,089844;792,5317998
Jsoup;GZoltarMaven;183,5722656;464,8457031;284,309398
Jsoup;Jaguar;166,9804688;409,5820313;303,0135324
Jsoup;Jaguar2;210,3398438;904,3359375;512,7106585
Jsoup;Verify;190,7128906;413,0039063;263,9392361
Lang;Flacoco;134,9160156;1557,078125;806,8898168
Lang;GZoltarCLI;64,25390625;1252,455078;454,6328125
Lang;GZoltarMaven;263,4238281;2091,042969;858,3419471
Lang;Jaguar;154,3671875;1682,070313;898,5970703
Lang;Jaguar2;101,21875;2091,574219;1042,634394
Lang;Verify;101,0371094;801,4570313;527,1428385
Math;Flacoco;153,625;597,2285156;347,0100911
Math;GZoltarCLI;114,9121094;459,9882813;253,0014323
Math;GZoltarMaven;192,8710938;440,6601563;316,7720853
Math;Jaguar;166,0410156;537,0878906;319,1151042
Math;Jaguar2;174,5195313;637,328125;380,1681083
Math;Verify;180,984375;445,0371094;346,0616319
Time;Flacoco;164,0019531;1201,371094;744,3939048
Time;GZoltarCLI;208,3320313;1994,431641;1314,4764
Time;GZoltarMaven;138,4882813;309,2539063;259,9508464
Time;Jaguar;107,8652344;358,0820313;220,3307884
Time;Jaguar2;194,6582031;1333,322266;602,7746394
Time;Verify;187,4648438;378,0976563;258,6441406
